commit	experiment	depth_0_pct	ov_cos_pct	warp_pct	depth_gt_pct	status	description
8e47150	ar_mar12_001	-8.5	+7.5	-16.3	-1.9	discard	5-loss baseline: tgate frozen, branch_heads frozen, OV detached in sem losses. Load from fixv23_best.
8e47150	ar_mar12_002	-3.3	+7.7	-12.6	+3.1	discard	sem_ce=1.0 with detached OV features. Load fixv23_best. Test if detach prevents ov_cos corruption.
8e47150	ar_mar13_001	-7.6	+3.3	-16.3	-1.4	keep	5-loss baseline + ov_cos weight 1.0→2.0. Test if stronger ov signal fixes regression.
8e47150	ar_mar13_002	-9.1	+3.4	-16.3	-1.8	keep	ov_cos=2.0 + sem_ce=1.0 detached + sem_text=0.5. Test compound semantic losses on KEEP baseline.
8e47150	ar_mar13_003	-1.6	+3.8	-12.7	+4.0	keep	Phase 1: dyn_cov=0.5 + dyn_depth=0.5 on top of KEEP config (ov_cos=2.0 + sem_ce + sem_text)
8e47150	ar_mar13_004	-8.0	+1.8	-16.4	-0.7	keep	Phase 2: branch_cls=0.5 enables hard temporal mask + static-only warp. Full loss config.
8e47150	ar_mar13_005	+9.6	+2.3	-17.3	+10.8	discard	branch_cls=0.5 only, no dyn losses. Test if branch_cls alone helps.
8e47150	ar_mar13_006	N/A	N/A	N/A	N/A	discard	branch_cls=1.0 (stronger branch supervision). Full config otherwise.
8e47150	ar_mar13_007	-3.2	+2.3	-10.0	+2.5	keep	sem_text=0: ablate text contrastive loss from Phase 1 KEEP config.
8e47150	ar_mar13_008	-8.1	+1.8	-16.4	-1.1	keep	dyn_cov=1.0+dyn_depth=1.0: stronger dynamic coverage losses.
8e47150	ar_mar13_009	-7.0	-0.4	-16.4	-1.5	keep	ov_cos=3.0: push OV cosine weight higher from best config.
8e47150	ar_mar15_001	+1.3	-4.6	-12.1	+5.0	discard	ov_cos weight 3.0→5.0 on best config (sem_ce=1.0 detached, sem_text=0, dyn_cov/depth=1.0, branch_cls=0.5)
8e47150	ar_mar15_002	+0.7	-4.6	-12.1	+4.4	keep	ov_cos=5.0 + depth_gt=0.1 (doubled LiDAR anchor to fix borderline depth_gt regression from 001)
8e47150	ar_mar15_003	-1.2	-1.5	-12.1	+4.3	keep	ov_cos=5.0 + depth_gt=0.1 + depth_foundation=2.0: recover depth_0 improvement while keeping ov_cos gains
8e47150	ar_mar15_004	+1.5	-4.3	-12.1	+4.2	keep	ov_mse=5.0 (halved from 10.0) + ov_cos=5.0 + depth_gt=0.1: reduce OV gradient pressure to recover depth_0
8e47150	ar_mar15_005	+1.7	-3.3	-12.1	+4.1	keep	ov_cos=4.0 + depth_gt=0.1: interpolate between ov_cos=3.0 (good depth) and 5.0 (good ov_cos) to find Pareto optimum
8e47150	ar_mar15_006	+1.1	-4.3	-12.2	+4.6	keep	ov_cos=5.0 + depth_warping=8.0 + depth_gt=0.1: restore warp dominance to recover depth_0 while keeping strong ov_cos
8e47150	ar_mar15_007	+0.3	-4.3	-12.1	+4.1	keep	ov_mse=0 ablation: remove constantly-regressing dominant loss (was 10.0) to test if ov_mse has been adversarial
9f3acd6	ar_mar15_008	+0.0	-1.2	-12.1	+3.9	keep	detach spatial params in ov_cos render: ov_cos only updates OV embeddings not geometry. ov_cos=5.0 + depth_gt=0.1
62bbe4f	ar_mar15_009	+2.8	-6.4	-12.2	+4.8	keep	ov_cos=5.0 with warmup 0→1 over 33% of steps (1000 steps): let geometry converge first before ramping OV cosine loss
62bbe4f	ar_mar15_010	+0.8	-5.2	-12.1	+5.2	discard	ov_cos=3.0 + warmup 0.33 + depth_gt=0.1: can warmup push ov_cos IMPROVED while keeping depth_0 IMPROVED?
62bbe4f	ar_mar15_011	+0.8	-2.9	-12.2	+5.3	discard	reproduce mar13_009: ov_cos=3.0, no warmup, no depth_gt override. Verify depth_0 -7% reproducibility
6624800	ar_mar15_013	-6.1	-1.4	-16.4	-1.1	keep	max_steps=3000 fix + ov_cos=5.0+warmup=0.33 + depth_gt=0.1: recover depth_0 IMPROVED by reaching true 3000 steps
6624800	ar_mar15_014	-5.9	-1.9	-16.4	-0.9	keep	ov_cos_warmup=0.5 (longer warmup): depth_0 -5.9% warp -16.4% KEEP. ov_cos -1.9% tantalizingly close to IMPROVED (-2% threshold)
6624800	ar_mar15_015	-6.0	-2.6	-16.4	-0.9	keep	ov_cos=7.0+warmup=0.5: first 3-metric IMPROVED (depth_0 -6.0% ov_cos -2.6% warp -16.4%). depth_gt barely FLAT at -0.9%
6624800	ar_mar15_016	-6.0	-2.4	-16.4	-2.0	keep	4/4 IMPROVED: ov_cos=7.0+warmup=0.5+depth_gt=0.2 — depth_0 -6.0% ov_cos -2.4% warp -16.4% depth_gt -2.0%. New high-water mark.
